         0                   0
        10                   0
        20                   0
        30                   0
        40                   0
        50                   0
        60                   0
        70                   0
        80      0.000900090009
        90      0.000900090009
       100      0.003600360036
       110      0.004500450045
       120       0.01260126013
       130       0.02070207021
       140       0.03330333033
       150       0.05580558056
       160       0.07560756076
       170        0.1071107111
       180        0.1458145815
       190        0.1827182718
       200        0.2556255626
       210        0.3240324032
       220        0.4113411341
       230         0.504050405
       240        0.6102610261
       250         0.698469847
       260        0.7929792979
       270        0.8847884788
       280        0.9342934293
       290        0.9630963096
       300        0.9909990999
       310                   1
       320                   1
       330                   1
       340                   1
       350                   1
       360                   1
       370                   1
       380                   1
       390                   1
       400                   1
       410                   1
       420                   1
       430                   1
       440                   1
       450                   1
       460                   1
       470                   1
       480                   1
       490                   1
       500                   1
       510                   1
       520                   1
       530                   1
       540                   1
       550                   1
       560                   1
       570                   1
       580                   1
       590                   1
       600                   1
       610                   1
       620                   1
       630                   1
       640                   1
       650                   1
       660                   1
       670                   1
       680                   1
       690                   1
       700                   1
       710                   1
       720                   1
       730                   1
       740                   1
       750                   1
       760                   1
       770                   1
       780                   1
       790                   1
       800                   1
       810                   1
       820                   1
       830                   1
       840                   1
       850                   1
       860                   1
       870                   1
       880                   1
       890                   1
       900                   1
       910                   1
       920                   1
       930                   1
       940                   1
       950                   1
       960                   1
       970                   1
       980                   1
       990                   1
      1000                   1
